timestamp,mode,direction,total,bits,raw_samples
2026-03-12T17:13:30.933281,RANDOM,DOWN,2752,1000000,3978910
2026-03-12T17:18:16.730894,MANUAL,NONE,-318,1000000,4047504
2026-03-12T17:40:45.711464,RANDOM,UP,22196,1000000,3981028
2026-03-12T17:49:34.660085,RANDOM,DOWN,2138,1000000,3997782
2026-03-12T17:54:11.113381,MANUAL,NONE,-86,1000000,3979956
2026-03-12T18:36:10.793895,RANDOM,DOWN,1452,1000000,3974094
2026-03-12T18:40:50.343660,MANUAL,NONE,-90,1000000,4006012
2026-03-12T18:51:28.225885,RANDOM,DOWN,2668,1000000,4039294
2026-03-12T18:57:14.764547,RANDOM,UP,23220,1000000,3997776
2026-03-12T19:01:57.639633,MANUAL,NONE,282,1000000,3978298
2026-03-12T19:57:18.529164,RANDOM,DOWN,3156,1000000,3990328
2026-03-12T20:05:30.011884,RANDOM,UP,23142,1000000,3994700
2026-03-12T20:10:09.066692,MANUAL,NONE,-2218,1000000,4008222
2026-03-12T20:21:35.298687,RANDOM,UP,24006,1000000,3995760
2026-03-12T20:38:05.715948,RANDOM,UP,24576,1000000,4006742
2026-03-12T20:51:46.293780,RANDOM,UP,26232,1000000,3986502
2026-03-12T22:58:27.117552,RANDOM,DOWN,3400,1000000,3984394
2026-03-12T23:04:38.500865,MANUAL,NONE,-3130,1000000,3985504
2026-03-12T23:21:18.537344,RANDOM,UP,26210,1000000,3999412
2026-03-12T23:38:35.886134,RANDOM,UP,25882,1000000,4040114
2026-03-12T23:52:24.410196,RANDOM,DOWN,3860,1000000,4021342
2026-03-13T00:02:40.407810,RANDOM,DOWN,4612,1000000,4016056
2026-03-13T00:20:37.980506,RANDOM,UP,26814,1000000,4030960
2026-03-13T00:26:19.848414,MANUAL,NONE,-3392,1000000,4017276
2026-03-13T00:40:13.720432,MANUAL,NONE,-3768,1000000,4010340
2026-03-13T00:46:28.430728,RANDOM,DOWN,5530,1000000,4013340
2026-03-13T00:51:06.776964,MANUAL,NONE,-4676,1000000,3999790
2026-03-14T07:12:43.702137,RANDOM,UP,26902,1000000,3994644
2026-03-14T07:20:07.127874,RANDOM,DOWN,7662,1000000,4039126
2026-03-14T07:25:16.043159,MANUAL,NONE,-5868,1000000,4025536
2026-03-14T07:36:44.590512,RANDOM,DOWN,5528,1000000,3982766
2026-03-14T07:41:19.777953,MANUAL,NONE,-6474,1000000,3984194
2026-03-14T07:50:57.698365,RANDOM,UP,26710,1000000,4026368
2026-03-14T07:56:43.080490,RANDOM,UP,26640,1000000,4028310
2026-03-14T08:01:42.610392,RANDOM,UP,27692,1000000,3991562
2026-03-14T08:14:02.883477,RANDOM,DOWN,2910,1000000,4016316
2026-03-14T08:18:49.703088,MANUAL,NONE,-6200,1000000,4025376
2026-03-14T08:31:38.277590,RANDOM,UP,28752,1000000,3997970
2026-03-14T08:41:49.631957,RANDOM,UP,28430,1000000,3991956
2026-03-14T08:50:48.091813,RANDOM,DOWN,1904,1000000,4006870
2026-03-14T08:56:42.307678,MANUAL,NONE,-7444,1000000,3985950
2026-03-14T09:16:35.599917,RANDOM,DOWN,2218,1000000,3987370
2026-03-14T09:25:19.329802,MANUAL,NONE,-8358,1000000,4031110
2026-03-14T09:32:04.590462,RANDOM,UP,27838,1000000,4011766
2026-03-14T09:59:44.750314,RANDOM,UP,28408,1000000,4046712
2026-03-14T10:10:19.890599,RANDOM,UP,27462,1000000,4033966
2026-03-14T10:15:43.105902,RANDOM,DOWN,2246,1000000,4037298
2026-03-14T10:54:02.292423,MANUAL,NONE,-7892,1000000,4013754
2026-03-14T11:58:29.173928,RANDOM,DOWN,2694,1000000,4033244
2026-03-14T12:03:02.293082,MANUAL,NONE,-9130,1000000,4006952
2026-03-14T12:16:34.711430,RANDOM,UP,27536,1000000,4039558
2026-03-14T12:21:42.165354,RANDOM,DOWN,2352,1000000,4038400
2026-03-14T22:00:08.422931,RANDOM,DOWN,1368,1000000,4068342
2026-03-14T22:05:34.031068,RANDOM,UP,26142,1000000,4078546
2026-03-14T22:10:11.092491,RANDOM,DOWN,-310,1000000,4064552
2026-03-14T22:15:03.449873,MANUAL,NONE,-10180,1000000,4084782
2026-03-14T22:20:07.341161,MANUAL,NONE,-9822,1000000,4064904
2026-03-14T22:25:14.419886,MANUAL,NONE,-8178,1000000,4076486
2026-03-14T22:30:05.551407,RANDOM,UP,25742,1000000,4079464
2026-03-14T22:34:40.514296,RANDOM,UP,24584,1000000,4042830
2026-03-14T22:39:57.508995,RANDOM,DOWN,60,1000000,4042150
2026-03-14T22:45:38.057584,MANUAL,NONE,-8968,1000000,4065346
2026-03-14T22:53:07.532163,RANDOM,DOWN,-1072,1000000,4024408
2026-03-14T22:58:21.815518,MANUAL,NONE,-8850,1000000,4032434
2026-03-14T23:04:02.005206,RANDOM,UP,24864,1000000,4051570
2026-03-14T23:21:04.436473,RANDOM,UP,25494,1000000,4044938
2026-03-14T23:45:48.043477,RANDOM,UP,24624,1000000,4009250
2026-03-15T00:05:22.054417,RANDOM,UP,25448,1000000,4039218
2026-03-15T00:12:11.309583,RANDOM,DOWN,-406,1000000,3998564
2026-03-15T00:18:24.492781,RANDOM,UP,25662,1000000,4013290
2026-03-15T00:23:17.573249,MANUAL,NONE,-10766,1000000,3989590
2026-03-22T10:19:46.064723,RANDOM,UP,27012,1000000,4027182
2026-03-22T10:24:21.823713,MANUAL,NONE,-10992,1000000,3986084
2026-03-22T10:29:41.293317,RANDOM,DOWN,-428,1000000,3982118
2026-03-25T00:20:07.514917,RANDOM,UP,28084,1000000,4029970
2026-03-25T00:25:52.007262,RANDOM,DOWN,-764,1000000,4034562
2026-03-25T00:30:45.630585,MANUAL,NONE,-10204,1000000,4007828
2026-03-27T07:39:16.031158,RANDOM,DOWN,-1112,1000000,4035370
2026-03-27T07:43:50.004184,MANUAL,NONE,-10620,1000000,3992508
2026-03-27T07:48:39.974865,RANDOM,UP,29176,1000000,3976428
2026-03-27T07:54:10.036463,MANUAL,NONE,-8332,1000000,4029576
2026-03-27T07:58:42.365822,RANDOM,DOWN,-1996,1000000,3991808
2026-03-30T07:53:15.143322,RANDOM,DOWN,-3444,1000000,4047212
2026-03-30T07:57:52.589727,MANUAL,NONE,-10862,1000000,4019112
2026-03-30T08:02:26.510505,RANDOM,UP,31922,1000000,4010592
2026-03-31T23:27:33.320182,RANDOM,DOWN,-4026,1000000,4035578
2026-03-31T23:32:17.612383,MANUAL,NONE,-7806,1000000,4026138
2026-03-31T23:37:01.326794,RANDOM,UP,31548,1000000,3999898
2026-03-31T23:41:43.256090,RANDOM,DOWN,-3472,1000000,4023144
2026-03-31T23:46:23.235009,MANUAL,NONE,-9056,1000000,3998206
2026-03-31T23:51:29.772692,RANDOM,UP,32198,1000000,4003266
2026-03-31T23:57:33.943429,RANDOM,DOWN,-3820,1000000,3995848
2026-04-01T00:02:20.059835,MANUAL,NONE,-8818,1000000,3975434
2026-04-01T07:45:19.375528,RANDOM,DOWN,-4064,1000000,3983152
2026-04-01T07:51:07.454249,MANUAL,NONE,-8206,1000000,3980952
2026-04-01T07:56:02.734205,RANDOM,DOWN,-3562,1000000,4007484
2026-04-01T08:00:42.113565,MANUAL,NONE,-5744,1000000,3995112
2026-04-02T07:53:37.810772,RANDOM,UP,32518,1000000,4003238
2026-04-02T07:58:09.524337,RANDOM,DOWN,-2942,1000000,3987282
2026-04-02T08:02:43.805900,RANDOM,DOWN,-2042,1000000,4001912
2026-04-02T08:07:44.898534,RANDOM,DOWN,-1194,1000000,4004882
2026-04-03T07:53:55.737233,RANDOM,UP,33388,1000000,4049088
2026-04-03T07:58:34.965495,MANUAL,NONE,-5174,1000000,4016876
2026-04-03T08:03:09.966022,RANDOM,UP,33802,1000000,4041262
2026-04-03T08:07:46.840790,MANUAL,NONE,-5558,1000000,3976440
2026-04-05T00:11:43.715226,RANDOM,UP,34726,1000000,4016574
